iter	RMSE
0	9.562959168
1	8.346395045
2	7.846467085
3	7.59162243
4	7.4746454
5	7.431797938
6	7.404768572
7	7.392891346
8	7.369428937
9	7.358503197
10	7.349767988
11	7.332120288
12	7.319661161
13	7.308579899
14	7.299560867
15	7.290348027
16	7.280861486
17	7.270856388
18	7.257982732
19	7.2520536
20	7.240602791
21	7.230136026
22	7.224176289
23	7.220675739
24	7.200779335
25	7.19259376
26	7.174786805
27	7.16246545
28	7.149756356
29	7.133032705
30	7.116179171
31	7.104559327
32	7.085849666
33	7.073910143
34	7.066104685
35	7.056749373
36	7.044279006
37	7.029865152
38	7.008789575
39	7.00281429
40	6.991145331
41	6.970539517
42	6.961043552
43	6.94806197
44	6.934050985
45	6.927450539
46	6.919782249
47	6.89596363
48	6.883025026
49	6.8642248
50	6.852807661
51	6.848039657
52	6.840177676
53	6.824116548
54	6.814439782
55	6.803956354
56	6.78886228
57	6.780043459
58	6.764957316
59	6.758445949
60	6.745308866
61	6.734431065
62	6.719559603
63	6.708692173
64	6.702226093
65	6.69538837
66	6.677507792
67	6.670524684
68	6.664483437
69	6.654832861
70	6.641162394
71	6.630395153
72	6.624415339
73	6.60898924
74	6.593983667
75	6.580447144
76	6.571216366
77	6.563797887
78	6.547360709
79	6.541520513
80	6.529600729
81	6.514707613
82	6.508711521
83	6.490624082
84	6.483351809
85	6.470243116
86	6.458603359
87	6.451774497
88	6.447382058
89	6.435306402
90	6.432903486
91	6.427669477
92	6.416416198
93	6.41062139
94	6.395393368
95	6.379240995
96	6.366599056
97	6.357177062
98	6.347561687
99	6.338827625
