iter	Passed	Remaining
0	53	5270
1	55	2709
2	57	1853
3	59	1425
4	61	1165
5	63	991
6	65	866
7	67	772
8	69	699
9	71	639
10	73	590
11	75	550
12	87	582
13	88	546
14	90	514
15	102	539
16	104	511
17	106	485
18	108	463
19	110	442
20	122	460
21	124	440
22	126	423
23	128	406
24	131	394
25	133	380
26	135	366
27	137	354
28	169	414
29	171	400
30	175	391
31	177	377
32	179	364
33	182	354
34	184	343
35	186	332
36	188	321
37	190	311
38	192	301
39	194	292
40	197	284
41	210	290
42	212	281
43	214	273
44	216	264
45	218	256
46	220	248
47	222	241
48	224	233
49	226	226
50	228	219
51	230	212
52	232	206
53	234	199
54	266	218
55	268	211
56	270	204
57	272	197
58	274	190
59	276	184
60	278	178
61	280	172
62	282	166
63	284	160
64	286	154
65	288	148
66	290	143
67	292	137
68	294	132
69	296	127
70	308	126
71	310	120
72	312	115
73	314	110
74	316	105
75	318	100
76	320	95
77	322	90
78	324	86
79	336	84
80	338	79
81	340	74
82	342	70
83	344	65
84	346	61
85	348	56
86	350	52
87	352	48
88	354	43
89	356	39
90	358	35
91	360	31
92	362	27
93	364	23
94	366	19
95	378	15
96	380	11
97	382	7
98	384	3
99	396	0
